Task,Domain,Model,Concept,File,Correct
Edit,Literary techniques,Llama-3.3,Haiku,0_9.txt,yes
Edit,Literary techniques,GPT-4o,Haiku,0_1.txt,yes
Edit,Literary techniques,GPT-4.5,Haiku,0_8.txt,no
Edit,Literary techniques,O3-Mini,Haiku,0_0.txt,no
Edit,Literary techniques,O1-Mini,Haiku,0_7.txt,yes
Edit,Literary techniques,Gemini-2.0,Haiku,0_4.txt,no
Edit,Literary techniques,Claude-Sonnet,Haiku,0_0.txt,yes
Edit,Literary techniques,Mistral-Instruct,Haiku,0_1.txt,yes
Edit,Literary techniques,DeepSeek-V3,Haiku,0_3.txt,yes
Edit,Literary techniques,DeepSeek-R1,Haiku,0_9.txt,no
Edit,Literary techniques,Qwen2-VL,Haiku,0_5.txt,no
Edit,Literary techniques,Llama-3.3,Shakespearean Sonnet,0_0.txt,yes
Edit,Literary techniques,GPT-4o,Shakespearean Sonnet,0_5.txt,no
Edit,Literary techniques,GPT-4.5,Shakespearean Sonnet,0_4.txt,yes
Edit,Literary techniques,O3-Mini,Shakespearean Sonnet,0_6.txt,no
Edit,Literary techniques,O1-Mini,Shakespearean Sonnet,0_1.txt,yes
Edit,Literary techniques,Gemini-2.0,Shakespearean Sonnet,0_2.txt,yes
Edit,Literary techniques,Claude-Sonnet,Shakespearean Sonnet,0_0.txt,yes
Edit,Literary techniques,Mistral-Instruct,Shakespearean Sonnet,0_2.txt,yes
Edit,Literary techniques,DeepSeek-V3,Shakespearean Sonnet,0_1.txt,yes
Edit,Literary techniques,DeepSeek-R1,Shakespearean Sonnet,0_6.txt,yes
Edit,Literary techniques,Qwen2-VL,Shakespearean Sonnet,0_9.txt,no
Edit,Literary techniques,Llama-3.3,Analogy,0_9.txt,yes
Edit,Literary techniques,GPT-4o,Analogy,0_4.txt,yes
Edit,Literary techniques,GPT-4.5,Analogy,0_3.txt,yes
Edit,Literary techniques,O3-Mini,Analogy,0_6.txt,no
Edit,Literary techniques,O1-Mini,Analogy,0_3.txt,yes
Edit,Literary techniques,Gemini-2.0,Analogy,0_9.txt,yes
Edit,Literary techniques,Claude-Sonnet,Analogy,0_1.txt,yes
Edit,Literary techniques,Mistral-Instruct,Analogy,0_1.txt,yes
Edit,Literary techniques,DeepSeek-V3,Analogy,0_6.txt,yes
Edit,Literary techniques,DeepSeek-R1,Analogy,0_5.txt,no
Edit,Literary techniques,Qwen2-VL,Analogy,0_8.txt,no
Edit,Literary techniques,Llama-3.3,Paradox,0_1.txt,yes
Edit,Literary techniques,GPT-4o,Paradox,0_9.txt,yes
Edit,Literary techniques,GPT-4.5,Paradox,0_4.txt,yes
Edit,Literary techniques,O3-Mini,Paradox,0_1.txt,yes
Edit,Literary techniques,O1-Mini,Paradox,0_7.txt,yes
Edit,Literary techniques,Gemini-2.0,Paradox,0_2.txt,no
Edit,Literary techniques,Claude-Sonnet,Paradox,0_1.txt,yes
Edit,Literary techniques,Mistral-Instruct,Paradox,0_5.txt,no
Edit,Literary techniques,DeepSeek-V3,Paradox,0_8.txt,yes
Edit,Literary techniques,DeepSeek-R1,Paradox,0_9.txt,yes
Edit,Literary techniques,Qwen2-VL,Paradox,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Anacoluthon,0_6.txt,yes
Edit,Literary techniques,GPT-4o,Anacoluthon,0_1.txt,no
Edit,Literary techniques,GPT-4.5,Anacoluthon,0_4.txt,yes
Edit,Literary techniques,O3-Mini,Anacoluthon,0_8.txt,no
Edit,Literary techniques,O1-Mini,Anacoluthon,0_4.txt,yes
Edit,Literary techniques,Gemini-2.0,Anacoluthon,0_7.txt,no
Edit,Literary techniques,Claude-Sonnet,Anacoluthon,0_9.txt,no
Edit,Literary techniques,Mistral-Instruct,Anacoluthon,0_3.txt,no
Edit,Literary techniques,DeepSeek-V3,Anacoluthon,0_0.txt,no
Edit,Literary techniques,DeepSeek-R1,Anacoluthon,0_2.txt,no
Edit,Literary techniques,Qwen2-VL,Anacoluthon,0_5.txt,no
Edit,Literary techniques,Llama-3.3,Asyndeton,0_0.txt,yes
Edit,Literary techniques,GPT-4o,Asyndeton,0_3.txt,yes
Edit,Literary techniques,GPT-4.5,Asyndeton,0_1.txt,yes
Edit,Literary techniques,O3-Mini,Asyndeton,0_1.txt,yes
Edit,Literary techniques,O1-Mini,Asyndeton,0_5.txt,yes
Edit,Literary techniques,Gemini-2.0,Asyndeton,0_3.txt,yes
Edit,Literary techniques,Claude-Sonnet,Asyndeton,0_1.txt,no
Edit,Literary techniques,Mistral-Instruct,Asyndeton,0_7.txt,no
Edit,Literary techniques,DeepSeek-V3,Asyndeton,0_4.txt,yes
Edit,Literary techniques,DeepSeek-R1,Asyndeton,0_3.txt,yes
Edit,Literary techniques,Qwen2-VL,Asyndeton,0_8.txt,yes
Edit,Literary techniques,Llama-3.3,Hyperbaton,0_4.txt,no
Edit,Literary techniques,GPT-4o,Hyperbaton,0_6.txt,no
Edit,Literary techniques,GPT-4.5,Hyperbaton,0_0.txt,yes
Edit,Literary techniques,O3-Mini,Hyperbaton,0_6.txt,no
Edit,Literary techniques,O1-Mini,Hyperbaton,0_0.txt,yes
Edit,Literary techniques,Gemini-2.0,Hyperbaton,0_5.txt,yes
Edit,Literary techniques,Claude-Sonnet,Hyperbaton,0_7.txt,yes
Edit,Literary techniques,Mistral-Instruct,Hyperbaton,0_1.txt,yes
Edit,Literary techniques,DeepSeek-V3,Hyperbaton,0_1.txt,no
Edit,Literary techniques,DeepSeek-R1,Hyperbaton,0_3.txt,no
Edit,Literary techniques,Qwen2-VL,Hyperbaton,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Synesis,0_8.txt,no
Edit,Literary techniques,GPT-4o,Synesis,0_3.txt,yes
Edit,Literary techniques,GPT-4.5,Synesis,0_2.txt,yes
Edit,Literary techniques,O3-Mini,Synesis,0_4.txt,yes
Edit,Literary techniques,O1-Mini,Synesis,0_2.txt,yes
Edit,Literary techniques,Gemini-2.0,Synesis,0_7.txt,yes
Edit,Literary techniques,Claude-Sonnet,Synesis,0_8.txt,no
Edit,Literary techniques,Mistral-Instruct,Synesis,0_4.txt,yes
Edit,Literary techniques,DeepSeek-V3,Synesis,0_9.txt,no
Edit,Literary techniques,DeepSeek-R1,Synesis,0_4.txt,no
Edit,Literary techniques,Qwen2-VL,Synesis,0_2.txt,no
Edit,Literary techniques,Llama-3.3,Accismus,0_6.txt,no
Edit,Literary techniques,GPT-4o,Accismus,0_5.txt,yes
Edit,Literary techniques,GPT-4.5,Accismus,0_2.txt,yes
Edit,Literary techniques,O3-Mini,Accismus,0_5.txt,yes
Edit,Literary techniques,O1-Mini,Accismus,0_8.txt,no
Edit,Literary techniques,Gemini-2.0,Accismus,0_1.txt,yes
Edit,Literary techniques,Claude-Sonnet,Accismus,0_9.txt,yes
Edit,Literary techniques,Mistral-Instruct,Accismus,0_5.txt,yes
Edit,Literary techniques,DeepSeek-V3,Accismus,0_0.txt,yes
Edit,Literary techniques,DeepSeek-R1,Accismus,0_5.txt,yes
Edit,Literary techniques,Qwen2-VL,Accismus,0_0.txt,yes
Edit,Literary techniques,Llama-3.3,Slant Rhyme,0_7.txt,no
Edit,Literary techniques,GPT-4o,Slant Rhyme,0_4.txt,yes
Edit,Literary techniques,GPT-4.5,Slant Rhyme,0_8.txt,no
Edit,Literary techniques,O3-Mini,Slant Rhyme,0_1.txt,yes
Edit,Literary techniques,O1-Mini,Slant Rhyme,0_3.txt,yes
Edit,Literary techniques,Gemini-2.0,Slant Rhyme,0_5.txt,yes
Edit,Literary techniques,Claude-Sonnet,Slant Rhyme,0_6.txt,no
Edit,Literary techniques,Mistral-Instruct,Slant Rhyme,0_9.txt,no
Edit,Literary techniques,DeepSeek-V3,Slant Rhyme,0_6.txt,yes
Edit,Literary techniques,DeepSeek-R1,Slant Rhyme,0_0.txt,yes
Edit,Literary techniques,Qwen2-VL,Slant Rhyme,0_2.txt,yes
Edit,Literary techniques,Llama-3.3,Enthymeme,0_3.txt,yes
Edit,Literary techniques,GPT-4o,Enthymeme,0_1.txt,yes
Edit,Literary techniques,GPT-4.5,Enthymeme,0_2.txt,yes
Edit,Literary techniques,O3-Mini,Enthymeme,0_3.txt,yes
Edit,Literary techniques,O1-Mini,Enthymeme,0_1.txt,yes
Edit,Literary techniques,Gemini-2.0,Enthymeme,0_7.txt,yes
